date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
2024-01-01,2024,1,1,January,1,1,Monday,0
2024-01-02,2024,1,1,January,2,2,Tuesday,0
2024-01-03,2024,1,1,January,3,3,Wednesday,0
2024-01-04,2024,1,1,January,4,4,Thursday,0
2024-01-05,2024,1,1,January,5,5,Friday,0
2024-01-06,2024,1,1,January,6,6,Saturday,1
2024-01-07,2024,1,1,January,7,7,Sunday,1
2024-01-08,2024,1,1,January,8,1,Monday,0
2024-01-09,2024,1,1,January,9,2,Tuesday,0
2024-01-10,2024,1,1,January,10,3,Wednesday,0
2024-01-11,2024,1,1,January,11,4,Thursday,0
2024-01-12,2024,1,1,January,12,5,Friday,0
2024-01-13,2024,1,1,January,13,6,Saturday,1
2024-01-14,2024,1,1,January,14,7,Sunday,1
2024-01-15,2024,1,1,January,15,1,Monday,0
2024-01-16,2024,1,1,January,16,2,Tuesday,0
2024-01-17,2024,1,1,January,17,3,Wednesday,0
2024-01-18,2024,1,1,January,18,4,Thursday,0
2024-01-19,2024,1,1,January,19,5,Friday,0
2024-01-20,2024,1,1,January,20,6,Saturday,1
2024-01-21,2024,1,1,January,21,7,Sunday,1
2024-01-22,2024,1,1,January,22,1,Monday,0
2024-01-23,2024,1,1,January,23,2,Tuesday,0
2024-01-24,2024,1,1,January,24,3,Wednesday,0
2024-01-25,2024,1,1,January,25,4,Thursday,0
2024-01-26,2024,1,1,January,26,5,Friday,0
2024-01-27,2024,1,1,January,27,6,Saturday,1
2024-01-28,2024,1,1,January,28,7,Sunday,1
2024-01-29,2024,1,1,January,29,1,Monday,0
2024-01-30,2024,1,1,January,30,2,Tuesday,0
2024-01-31,2024,1,1,January,31,3,Wednesday,0
2024-02-01,2024,1,2,February,1,4,Thursday,0
2024-02-02,2024,1,2,February,2,5,Friday,0
2024-02-03,2024,1,2,February,3,6,Saturday,1
2024-02-04,2024,1,2,February,4,7,Sunday,1
2024-02-05,2024,1,2,February,5,1,Monday,0
2024-02-06,2024,1,2,February,6,2,Tuesday,0
2024-02-07,2024,1,2,February,7,3,Wednesday,0
2024-02-08,2024,1,2,February,8,4,Thursday,0
2024-02-09,2024,1,2,February,9,5,Friday,0
2024-02-10,2024,1,2,February,10,6,Saturday,1
2024-02-11,2024,1,2,February,11,7,Sunday,1
2024-02-12,2024,1,2,February,12,1,Monday,0
2024-02-13,2024,1,2,February,13,2,Tuesday,0
2024-02-14,2024,1,2,February,14,3,Wednesday,0
2024-02-15,2024,1,2,February,15,4,Thursday,0
2024-02-16,2024,1,2,February,16,5,Friday,0
2024-02-17,2024,1,2,February,17,6,Saturday,1
2024-02-18,2024,1,2,February,18,7,Sunday,1
2024-02-19,2024,1,2,February,19,1,Monday,0
2024-02-20,2024,1,2,February,20,2,Tuesday,0
2024-02-21,2024,1,2,February,21,3,Wednesday,0
2024-02-22,2024,1,2,February,22,4,Thursday,0
2024-02-23,2024,1,2,February,23,5,Friday,0
2024-02-24,2024,1,2,February,24,6,Saturday,1
2024-02-25,2024,1,2,February,25,7,Sunday,1
2024-02-26,2024,1,2,February,26,1,Monday,0
2024-02-27,2024,1,2,February,27,2,Tuesday,0
2024-02-28,2024,1,2,February,28,3,Wednesday,0
2024-02-29,2024,1,2,February,29,4,Thursday,0
2024-03-01,2024,1,3,March,1,5,Friday,0
2024-03-02,2024,1,3,March,2,6,Saturday,1
2024-03-03,2024,1,3,March,3,7,Sunday,1
2024-03-04,2024,1,3,March,4,1,Monday,0
2024-03-05,2024,1,3,March,5,2,Tuesday,0
2024-03-06,2024,1,3,March,6,3,Wednesday,0
2024-03-07,2024,1,3,March,7,4,Thursday,0
2024-03-08,2024,1,3,March,8,5,Friday,0
2024-03-09,2024,1,3,March,9,6,Saturday,1
2024-03-10,2024,1,3,March,10,7,Sunday,1
2024-03-11,2024,1,3,March,11,1,Monday,0
2024-03-12,2024,1,3,March,12,2,Tuesday,0
2024-03-13,2024,1,3,March,13,3,Wednesday,0
2024-03-14,2024,1,3,March,14,4,Thursday,0
2024-03-15,2024,1,3,March,15,5,Friday,0
2024-03-16,2024,1,3,March,16,6,Saturday,1
2024-03-17,2024,1,3,March,17,7,Sunday,1
2024-03-18,2024,1,3,March,18,1,Monday,0
2024-03-19,2024,1,3,March,19,2,Tuesday,0
2024-03-20,2024,1,3,March,20,3,Wednesday,0
2024-03-21,2024,1,3,March,21,4,Thursday,0
2024-03-22,2024,1,3,March,22,5,Friday,0
2024-03-23,2024,1,3,March,23,6,Saturday,1
2024-03-24,2024,1,3,March,24,7,Sunday,1
2024-03-25,2024,1,3,March,25,1,Monday,0
2024-03-26,2024,1,3,March,26,2,Tuesday,0
2024-03-27,2024,1,3,March,27,3,Wednesday,0
2024-03-28,2024,1,3,March,28,4,Thursday,0
2024-03-29,2024,1,3,March,29,5,Friday,0
2024-03-30,2024,1,3,March,30,6,Saturday,1
2024-03-31,2024,1,3,March,31,7,Sunday,1
2024-04-01,2024,2,4,April,1,1,Monday,0
2024-04-02,2024,2,4,April,2,2,Tuesday,0
2024-04-03,2024,2,4,April,3,3,Wednesday,0
2024-04-04,2024,2,4,April,4,4,Thursday,0
2024-04-05,2024,2,4,April,5,5,Friday,0
2024-04-06,2024,2,4,April,6,6,Saturday,1
2024-04-07,2024,2,4,April,7,7,Sunday,1
2024-04-08,2024,2,4,April,8,1,Monday,0
2024-04-09,2024,2,4,April,9,2,Tuesday,0
2024-04-10,2024,2,4,April,10,3,Wednesday,0
2024-04-11,2024,2,4,April,11,4,Thursday,0
2024-04-12,2024,2,4,April,12,5,Friday,0
2024-04-13,2024,2,4,April,13,6,Saturday,1
2024-04-14,2024,2,4,April,14,7,Sunday,1
2024-04-15,2024,2,4,April,15,1,Monday,0
2024-04-16,2024,2,4,April,16,2,Tuesday,0
2024-04-17,2024,2,4,April,17,3,Wednesday,0
2024-04-18,2024,2,4,April,18,4,Thursday,0
