order_id,customer_id,product_id,channel_id,order_date,quantity,unit_price,discount_pct,shipping_cost,order_status,total_amount
ORD-00001,CUST-0156,PROD-018,CHAN-1,2024-01-01,1,83.95,0.0,0.0,Completed,83.95
ORD-00002,CUST-0286,PROD-112,CHAN-1,2024-01-01,1,115.0,0.1,0.0,Completed,103.5
ORD-00003,CUST-0970,PROD-086,CHAN-3,2024-01-01,2,7.0,0.05,8.99,Completed,22.29
ORD-00004,CUST-1635,PROD-018,CHAN-2,2024-01-01,1,83.95,0.0,0.0,Completed,83.95
ORD-00005,CUST-0001,PROD-010,CHAN-1,2024-01-01,1,32.99,0.0,5.99,Completed,38.98
ORD-00006,CUST-0028,PROD-001,CHAN-4,2024-01-01,1,50.95,0.0,8.99,Completed,59.94
ORD-00007,CUST-0883,PROD-005,CHAN-4,2024-01-01,2,30.99,0.0,11.99,Completed,73.97
ORD-00008,CUST-0646,PROD-068,CHAN-1,2024-01-01,4,83.95,0.0,0.0,Completed,335.8
ORD-00009,CUST-1410,PROD-120,CHAN-2,2024-01-01,1,158.0,0.0,0.0,Completed,158.0
ORD-00010,CUST-1479,PROD-014,CHAN-2,2024-01-01,1,19.0,0.0,4.99,Completed,23.99
ORD-00011,CUST-1608,PROD-005,CHAN-1,2024-01-01,1,30.99,0.0,11.99,Completed,42.98
ORD-00012,CUST-0974,PROD-058,CHAN-1,2024-01-01,1,86.0,0.1,0.0,Completed,77.4
ORD-00013,CUST-0951,PROD-146,CHAN-3,2024-01-01,1,8.99,0.0,8.99,Completed,17.98
ORD-00014,CUST-1524,PROD-026,CHAN-2,2024-01-01,1,36.95,0.05,5.99,Completed,41.09
ORD-00015,CUST-0244,PROD-090,CHAN-2,2024-01-02,1,21.0,0.4,8.99,Completed,21.59
ORD-00016,CUST-0064,PROD-001,CHAN-2,2024-01-02,1,50.95,0.0,4.99,Completed,55.94
ORD-00017,CUST-0019,PROD-064,CHAN-2,2024-01-02,2,43.0,0.0,0.0,Completed,86.0
ORD-00018,CUST-0329,PROD-120,CHAN-4,2024-01-02,2,158.0,0.3,0.0,Completed,221.2
ORD-00019,CUST-0600,PROD-015,CHAN-5,2024-01-02,1,65.0,0.35,4.99,Completed,47.24
ORD-00020,CUST-0037,PROD-030,CHAN-1,2024-01-02,4,62.99,0.3,0.0,Completed,176.37
ORD-00021,CUST-0491,PROD-047,CHAN-2,2024-01-02,1,82.0,0.0,0.0,Completed,82.0
ORD-00022,CUST-0002,PROD-056,CHAN-2,2024-01-02,1,131.0,0.3,0.0,Returned,91.7
ORD-00023,CUST-0952,PROD-009,CHAN-1,2024-01-03,1,60.99,0.0,8.99,Completed,69.98
ORD-00024,CUST-0154,PROD-107,CHAN-3,2024-01-04,1,53.0,0.0,11.99,Completed,64.99
ORD-00025,CUST-0493,PROD-078,CHAN-1,2024-01-04,1,9.99,0.0,4.99,Completed,14.98
ORD-00026,CUST-1854,PROD-057,CHAN-5,2024-01-04,1,32.0,0.35,8.99,Completed,29.79
ORD-00027,CUST-0782,PROD-009,CHAN-1,2024-01-05,1,60.99,0.0,4.99,Completed,65.98
ORD-00028,CUST-0106,PROD-006,CHAN-1,2024-01-05,1,58.0,0.2,4.99,Completed,51.39
ORD-00029,CUST-0786,PROD-037,CHAN-1,2024-01-06,1,60.95,0.0,11.99,Completed,72.94
ORD-00030,CUST-0009,PROD-056,CHAN-1,2024-01-06,2,131.0,0.1,0.0,Completed,235.8
ORD-00031,CUST-0001,PROD-011,CHAN-3,2024-01-06,2,18.95,0.15,11.99,Completed,44.2
ORD-00032,CUST-0005,PROD-101,CHAN-2,2024-01-06,2,66.0,0.0,0.0,Completed,132.0
ORD-00033,CUST-0518,PROD-070,CHAN-5,2024-01-06,1,91.99,0.0,0.0,Completed,91.99
ORD-00034,CUST-0572,PROD-033,CHAN-1,2024-01-07,1,63.99,0.0,5.99,Completed,69.98
ORD-00035,CUST-0012,PROD-063,CHAN-2,2024-01-07,1,96.99,0.0,0.0,Completed,96.99
ORD-00036,CUST-0002,PROD-034,CHAN-4,2024-01-07,1,65.99,0.0,11.99,Completed,77.98
ORD-00037,CUST-0574,PROD-091,CHAN-2,2024-01-07,1,13.0,0.3,8.99,Completed,18.09
ORD-00038,CUST-1326,PROD-024,CHAN-3,2024-01-07,1,39.0,0.0,8.99,Completed,47.99
ORD-00039,CUST-0078,PROD-002,CHAN-2,2024-01-07,1,28.99,0.0,8.99,Returned,37.98
ORD-00040,CUST-0049,PROD-010,CHAN-4,2024-01-08,2,32.99,0.25,8.99,Completed,58.48
ORD-00041,CUST-0419,PROD-057,CHAN-2,2024-01-08,1,32.0,0.0,11.99,Returned,43.99
ORD-00042,CUST-1578,PROD-004,CHAN-1,2024-01-08,1,47.99,0.0,8.99,Completed,56.98
ORD-00043,CUST-0320,PROD-032,CHAN-2,2024-01-08,1,89.95,0.0,0.0,Completed,89.95
ORD-00044,CUST-0345,PROD-011,CHAN-1,2024-01-08,1,18.95,0.0,5.99,Completed,24.94
ORD-00045,CUST-0969,PROD-028,CHAN-2,2024-01-08,2,109.0,0.1,0.0,Completed,196.2
ORD-00046,CUST-0714,PROD-034,CHAN-1,2024-01-08,1,65.99,0.0,11.99,Completed,77.98
ORD-00047,CUST-0611,PROD-037,CHAN-3,2024-01-08,2,60.95,0.0,0.0,Completed,121.9
ORD-00048,CUST-0026,PROD-004,CHAN-2,2024-01-08,1,47.99,0.1,5.99,Completed,49.18
ORD-00049,CUST-0001,PROD-118,CHAN-1,2024-01-08,3,150.99,0.0,0.0,Completed,452.97
ORD-00050,CUST-0825,PROD-087,CHAN-1,2024-01-08,1,34.99,0.0,4.99,Completed,39.98
ORD-00051,CUST-0359,PROD-006,CHAN-1,2024-01-09,1,58.0,0.0,4.99,Completed,62.99
ORD-00052,CUST-0022,PROD-008,CHAN-2,2024-01-09,1,38.99,0.15,11.99,Completed,45.13
ORD-00053,CUST-0002,PROD-060,CHAN-5,2024-01-09,1,51.99,0.0,11.99,Completed,63.98
ORD-00054,CUST-0012,PROD-049,CHAN-4,2024-01-09,2,19.95,0.25,8.99,Completed,38.91
ORD-00055,CUST-0569,PROD-016,CHAN-2,2024-01-09,1,25.0,0.1,5.99,Completed,28.49
ORD-00056,CUST-0713,PROD-079,CHAN-4,2024-01-10,1,37.99,0.0,4.99,Completed,42.98
ORD-00057,CUST-0001,PROD-045,CHAN-2,2024-01-10,2,51.0,0.0,0.0,Completed,102.0
ORD-00058,CUST-0034,PROD-012,CHAN-2,2024-01-10,1,63.0,0.0,4.99,Completed,67.99
ORD-00059,CUST-1337,PROD-035,CHAN-2,2024-01-10,1,102.99,0.0,0.0,Completed,102.99
ORD-00060,CUST-1005,PROD-018,CHAN-3,2024-01-10,1,83.95,0.0,0.0,Completed,83.95
ORD-00061,CUST-0405,PROD-009,CHAN-2,2024-01-10,1,60.99,0.0,4.99,Completed,65.98
