return_id,order_id,return_date,return_reason,refund_amount
RET-00001,ORD-07970,2025-10-17,Changed Mind,102.99
RET-00002,ORD-09668,2025-12-25,Wrong Size,15.98
RET-00003,ORD-05706,2025-03-30,Changed Mind,38.39
RET-00004,ORD-06143,2025-05-10,Late Delivery,105.95
RET-00005,ORD-00587,2024-03-25,Wrong Size,21.54
RET-00006,ORD-01592,2024-06-21,Product Not as Described,39.0
RET-00007,ORD-02757,2024-09-28,Wrong Size,38.95
RET-00008,ORD-04325,2024-12-17,Damaged Item,24.95
RET-00009,ORD-05532,2025-03-06,Product Not as Described,16.79
RET-00010,ORD-04761,2024-12-26,Damaged Item,111.8
RET-00011,ORD-03845,2024-11-27,Late Delivery,97.0
RET-00012,ORD-03242,2024-11-14,Damaged Item,70.99
RET-00013,ORD-08839,2025-12-08,Wrong Size,83.19
RET-00014,ORD-06578,2025-06-21,Late Delivery,95.98
RET-00015,ORD-06953,2025-07-18,Changed Mind,30.0
RET-00016,ORD-01583,2024-06-29,Product Not as Described,8.0
RET-00017,ORD-08202,2025-11-09,Defective Item,61.79
RET-00018,ORD-02788,2024-10-09,Wrong Size,119.56
RET-00019,ORD-05140,2025-01-19,Changed Mind,8.0
RET-00020,ORD-02104,2024-08-08,Defective Item,22.92
RET-00021,ORD-08009,2025-10-29,Damaged Item,79.61
RET-00022,ORD-00972,2024-04-29,Late Delivery,7.95
RET-00023,ORD-00840,2024-04-13,Defective Item,7.0
RET-00024,ORD-00324,2024-02-21,Product Not as Described,13.62
RET-00025,ORD-08087,2025-10-25,Wrong Size,141.98
RET-00026,ORD-03869,2024-12-04,Wrong Size,40.59
RET-00027,ORD-00411,2024-03-10,Late Delivery,85.8
RET-00028,ORD-07701,2025-09-29,Wrong Size,26.34
RET-00029,ORD-03256,2024-11-09,Product Not as Described,47.99
RET-00030,ORD-05303,2025-02-07,Defective Item,27.95
RET-00031,ORD-09038,2025-12-08,Wrong Size,141.98
RET-00032,ORD-03798,2024-12-04,Defective Item,79.8
RET-00033,ORD-05939,2025-04-26,Product Not as Described,5.95
RET-00034,ORD-00604,2024-03-22,Damaged Item,5.0
RET-00035,ORD-03817,2024-12-08,Wrong Size,33.12
RET-00036,ORD-00359,2024-02-26,Product Not as Described,57.59
RET-00037,ORD-06931,2025-07-12,Defective Item,327.0
RET-00038,ORD-01916,2024-07-21,Product Not as Described,500.0
RET-00039,ORD-09929,2026-01-04,Product Not as Described,24.69
RET-00040,ORD-04212,2024-12-17,Wrong Size,99.35
RET-00041,ORD-00482,2024-03-16,Wrong Size,21.0
RET-00042,ORD-07213,2025-08-03,Product Not as Described,58.0
RET-00043,ORD-05869,2025-04-17,Wrong Size,95.98
RET-00044,ORD-09844,2025-12-28,Late Delivery,155.8
RET-00045,ORD-03120,2024-11-06,Defective Item,59.25
RET-00046,ORD-09291,2025-12-15,Wrong Size,84.0
RET-00047,ORD-01666,2024-06-28,Wrong Size,21.69
RET-00048,ORD-05026,2025-01-06,Wrong Size,49.0
RET-00049,ORD-04245,2024-12-13,Wrong Size,24.0
RET-00050,ORD-04389,2024-12-24,Wrong Size,50.95
RET-00051,ORD-01556,2024-06-28,Damaged Item,33.15
RET-00052,ORD-05600,2025-03-17,Wrong Size,36.59
RET-00053,ORD-09003,2025-12-01,Changed Mind,99.39
RET-00054,ORD-08941,2025-12-09,Defective Item,56.8
RET-00055,ORD-01600,2024-06-21,Wrong Size,54.15
RET-00056,ORD-01456,2024-06-12,Changed Mind,97.0
RET-00057,ORD-01342,2024-06-07,Wrong Size,50.95
RET-00058,ORD-05321,2025-02-09,Changed Mind,4.9
RET-00059,ORD-06470,2025-06-04,Changed Mind,35.97
RET-00060,ORD-06335,2025-05-23,Defective Item,51.0
RET-00061,ORD-04848,2024-12-31,Damaged Item,5.96
RET-00062,ORD-09182,2025-12-16,Wrong Size,167.9
RET-00063,ORD-01417,2024-06-12,Defective Item,38.95
RET-00064,ORD-03664,2024-12-04,Product Not as Described,32.0
RET-00065,ORD-02286,2024-08-19,Product Not as Described,36.54
RET-00066,ORD-05203,2025-01-28,Damaged Item,332.97
RET-00067,ORD-01205,2024-05-19,Wrong Size,39.0
RET-00068,ORD-06856,2025-07-12,Defective Item,357.98
RET-00069,ORD-01880,2024-07-20,Changed Mind,56.1
RET-00070,ORD-00195,2024-02-02,Damaged Item,12.75
RET-00071,ORD-03220,2024-11-07,Product Not as Described,116.84
RET-00072,ORD-03945,2024-12-06,Defective Item,33.26
RET-00073,ORD-02897,2024-10-11,Wrong Size,50.95
RET-00074,ORD-00685,2024-04-05,Wrong Size,248.0
RET-00075,ORD-06195,2025-05-16,Defective Item,19.98
RET-00076,ORD-09515,2025-12-27,Defective Item,24.95
RET-00077,ORD-07882,2025-10-19,Late Delivery,47.7
